"CASE";"SERIAL";"REF";"QUESTNNR";"MODE";"STARTED";"DM01";"DM01_07";"DM01_08";"DM02_01";"DM05";"DM06";"DM06_01";"DM06_02";"DM06_03";"DM06_04";"DM06_05";"DM06_06";"DM06_07";"DM06_08";"DM06_09";"DM06_10";"DM06_11";"DM06_11a";"DM07";"DM07_01";"DM07_02";"DM07_03";"DM07_04";"DM07_05";"O101_01";"O101_02";"O101_12";"O101_03";"O101_04";"O101_16";"O101_05";"O101_15";"O101_06";"O101_07";"O101_08";"O101_17";"O102_01";"O102_02";"O103_01";"O103_02";"O103_03";"O103_04";"O103_05";"O103_06";"S101";"S101_01";"S101_02";"S101_03";"S101_04";"S101_06";"S101_06a";"S103";"S110";"S104";"S104_01";"S104_02";"S104_03";"S104_04";"S104_05";"S104_07";"S104_08";"S104_09";"S104_09a";"S105";"S105_01";"S105_02";"S105_03";"S105_04";"S105_04a";"S111";"S111s";"S106";"S106_01";"S106_02";"S106_03";"S106_04";"S106_05";"S106_06";"S112";"S112_01";"S112_02";"S112_03";"S112_04";"S112_05";"S112_06";"S112_07";"S112_08";"S112_08a";"S113";"S201_02";"S201_03";"S201_04";"S201_06";"S201_09";"S201_01";"S201_10";"S202";"S203";"S203_01";"S203_02";"S203_03";"S203_04";"S203_08";"S203_07";"S203_05";"S203_06";"S203_06a";"S204_01";"TIME001";"TIME002";"TIME003";"TIME004";"TIME005";"TIME006";"TIME_SUM";"MAILSENT";"LASTDATA";"FINISHED";"Q_VIEWER";"LASTPAGE";"MAXPAGE";"MISSING";"MISSREL";"TIME_RSI";"DEG_TIME"
118;;;"base";"interview";2021-02-05 08:13:45;5;;;"20";1;1;1;1;1;1;1;1;1;2;1;1;1;;;;;;;;3;2;1;4;2;3;4;3;2;3;3;3;2;1;3;2;4;3;2;-1;1;2;1;1;1;1;;4;-2;-1;1;1;1;1;1;1;1;1;;-1;1;1;1;1;;-1;;1;1;1;1;1;1;2;-2;1;1;1;1;1;1;1;1;;5;6;1;4;3;1;2;5;3;2;1;1;1;1;2;2;1;1;;;18;921;2;64;40;29;231;;2021-02-05 08:31:39;1;0;6;6;2;2;2.11;159
171;;;"base";"interview";2021-03-01 13:42:45;3;;;"7";5;3;2;1;1;1;2;1;2;1;1;1;1;;2;2;1;2;1;1;2;6;3;5;5;3;4;3;2;5;5;1;1;2;4;4;2;5;3;1;4;2;2;2;2;1;;1;2;1;1;1;1;1;2;1;1;1;;1;2;1;1;1;;-2;"none";3;1;2;2;1;2;1;3;1;1;1;2;1;2;2;1;;3;5;5;4;5;4;5;5;4;1;1;1;1;1;1;1;2;1;;"Share not only model, but when using application: (1) Share the input and settings you have used to run the model. Share (if possible) the dataset that you have used to compare the simulation results with (when comparing simulations with real data). ";20;95;509;199;700;247;1292;;2021-03-01 14:12:15;1;0;6;6;0;0;0.55;0
180;;;"base";"interview";2021-03-01 13:53:38;3;;;"10";7;3;2;1;1;1;2;1;1;1;1;2;1;;2;2;1;2;1;1;2;5;5;5;5;2;-1;-1;-1;5;4;-1;2;2;-1;-1;-1;5;5;-1;1;1;1;1;2;1;;2;4;-1;1;1;1;1;1;1;1;1;;-1;1;1;1;1;;-1;;2;1;1;2;1;1;2;-2;1;1;1;1;1;1;1;1;;3;6;5;5;6;1;5;6;3;1;1;1;1;1;1;1;2;1;;"Most data are already provided within the most publications. So why not using a software tool during the submission to check reproducibility of results based on the code and the data, ";28;69;45;473;280;273;1168;;2021-03-01 14:13:06;1;0;6;6;0;0;0.64;1
185;;;"base";"interview";2021-03-01 14:01:32;2;;;"3";1;2;2;1;1;1;1;1;1;2;1;1;1;;2;1;2;2;1;1;4;5;4;5;5;5;5;3;3;5;5;4;2;2;3;3;5;3;2;2;2;2;1;2;1;1;;1;2;1;1;1;1;2;1;1;1;1;;1;2;1;1;1;;-2;"MIT";4;2;1;2;1;2;2;2;1;1;1;1;2;1;2;1;;4;5;3;4;4;-1;5;5;3;-1;1;1;1;1;1;1;1;1;;"Foster putting codes publicly available (e;g. through github)";4;49;50;118;108;159;488;;2021-03-01 14:09:40;1;0;6;6;0;0;1.53;34
187;;;"base";"interview";2021-03-01 14:02:20;2;;;"6";4;1;2;1;1;1;1;1;1;1;1;1;1;;2;2;1;2;1;1;5;1;2;6;6;2;6;3;1;6;6;4;2;2;5;2;1;5;6;2;1;1;1;1;2;1;;1;2;1;1;1;1;2;1;1;1;1;;1;2;1;1;1;;-1;;2;1;2;2;1;1;1;1;1;1;1;2;1;1;1;1;;3;5;4;5;2;4;6;6;1;1;1;1;1;1;1;1;2;1;;"Publish data alongside research papers. With the documentation contained within the paper, the results should be reproducible.";61;128;121;256;272;381;1219;;2021-03-01 14:22:39;1;0;6;6;0;0;0.46;0
188;;;"base";"interview";2021-03-01 14:05:14;5;;;"12";5;3;2;1;1;2;1;1;1;1;2;1;1;;2;2;1;2;1;1;3;4;5;5;4;4;2;6;5;2;2;3;1;1;2;3;5;6;6;5;2;1;1;1;2;2;"Matlab";3;5;-1;1;1;1;1;1;1;1;1;;1;2;1;1;1;;-2;"Creative Commons";1;1;1;1;1;1;2;3;1;1;1;2;1;2;2;1;;4;5;3;4;2;3;2;2;4;2;1;1;1;1;2;1;2;1;;"We need people who can help to improve reproducibility, as many researchers with a focus on analytics and conceptualization are not familiar with coding and licenses. Still those researchers have great ideas that should not be ranked lower just because those people are not familiar with this new, necessary movement";189;62;22;3686;122;153;551;;2021-03-01 15:15:48;1;0;6;6;0;0;0.85;8
192;;;"base";"interview";2021-03-01 14:14:37;4;;;"14";5;2;2;1;1;1;2;1;1;1;1;1;1;;2;2;2;1;1;1;2;6;4;5;6;2;5;4;3;6;4;1;1;1;4;5;4;5;6;3;1;1;1;2;1;1;;1;2;2;1;1;1;1;2;1;2;1;;2;2;2;1;1;;-2;"GPL";2;1;1;2;1;1;2;2;1;1;1;2;2;1;1;1;;2;5;6;5;4;3;2;3;1;-1;1;1;1;1;1;1;1;1;;"Publication of code and (exemplary, applied) data with the manuscript as a standard ? but also acknowledging the extra efforts required for this.
Teaching reproducibility (with respect to software, data and measurements) in environmental sciences.
Universities should provide service entities which guide, support and review scientific software development to avoid the autodidact diversity of styles and mistakes.";8;82;43;189;225;330;877;;2021-03-01 14:29:14;1;0;6;6;0;0;0.92;6
195;;;"base";"interview";2021-03-01 14:24:24;2;;;"6";5;1;2;1;1;1;1;1;1;1;1;1;1;;1;1;2;1;1;1;3;3;-1;4;5;4;2;5;6;5;4;2;2;1;5;3;4;5;3;4;3;1;1;2;2;2;"MATLAB";2;5;-1;1;1;1;1;1;1;1;1;;1;2;1;1;1;;-2;"GPL";1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;;3;5;-1;-1;-1;4;4;4;4;2;1;1;2;1;1;1;2;1;;"provide better material to learn about reproducibility and it's benefits, standardize the teaching of coding skills and their ""best practices"" in MSc or at the latest PhD programms, allocate TIME (and thus money) for making work reproducible";37;103;50;236;242;438;1106;;2021-03-01 14:42:50;1;0;6;6;0;0;0.59;0
196;;;"base";"interview";2021-03-01 14:27:37;3;;;"5";2;1;1;1;1;1;1;1;1;2;1;1;1;;1;1;1;2;1;1;5;2;2;5;5;4;5;1;2;6;5;4;2;2;5;5;4;4;1;5;1;1;1;1;1;2;"NCL";1;2;1;1;1;2;1;1;1;1;1;;-1;1;1;1;1;;-1;;3;1;2;2;1;1;2;-2;1;1;1;1;1;1;1;1;;2;3;2;2;3;3;4;4;4;4;2;2;1;1;1;1;2;2;"I publish my code in out institutions library network, which can be freely accessed, but I'm not sure if this qualifies per se open source.";"In the climate community this is not very easily addressed. Reproducing the output of global climate models would be absurdly time and resource consuming. Reproducing the paper figures based on the author's code and data used is doable, but is it complete reproducibility?";5;59;17;154;154;187;576;;2021-03-01 14:37:14;1;0;6;6;0;0;1.5;26
198;;;"base";"interview";2021-03-01 14:33:19;2;;;"2";4;3;1;1;1;2;1;1;2;1;2;1;1;;2;2;1;2;1;1;2;5;5;3;4;4;3;4;5;4;4;1;2;2;6;5;-1;5;5;5;1;1;1;1;2;1;;2;3;-1;1;1;1;1;1;1;1;1;;-1;1;1;1;1;;-1;;3;1;2;2;1;1;2;1;1;1;1;2;1;1;1;1;;1;2;3;4;4;-1;5;5;1;1;2;1;1;1;1;1;1;1;;"A more detailed description in the paper and a share option for code";5;186;40;9791;178;228;815;;2021-03-01 17:27:07;1;0;6;6;0;0;0.93;15
203;;;"base";"interview";2021-03-01 15:08:18;3;;;"7";4;2;2;1;1;1;1;1;1;1;2;1;1;;1;1;1;2;1;1;4;3;-1;4;5;5;2;4;2;3;3;2;2;2;2;5;4;4;5;2;1;1;1;1;2;1;;1;5;-1;1;1;1;1;1;1;1;1;;-1;1;1;1;1;;-2;"none";3;1;2;2;1;1;2;-1;1;1;1;1;1;1;1;1;;4;3;5;5;4;4;4;4;3;-3;1;1;1;1;1;1;1;1;;"share code and data with others, stronger collaborative efforts rather than competitive mindest, 
reduce the amount of code developing by individual working groups and rely more on available codes and community efforts for code development for similar questions and applications.";820;198;49;312;232;624;1429;;2021-03-01 15:45:34;1;0;6;6;0;0;0.43;0
205;;;"base";"interview";2021-03-01 15:18:18;3;;;"12";1;1;2;1;1;1;1;1;1;1;1;1;1;;1;1;2;1;1;1;1;3;4;2;5;5;1;6;6;5;4;2;2;2;5;5;5;5;5;4;1;1;2;1;1;1;;1;2;2;1;1;1;2;2;1;1;1;;2;2;2;1;1;;-2;"none";2;1;1;1;2;1;2;-1;1;1;1;1;1;1;1;1;;4;6;4;5;4;4;5;5;4;4;2;2;1;1;2;1;2;1;;"develop slowly an obligation to improve reproducibility";26;61;62;262;164;154;729;;2021-03-01 15:30:27;1;0;6;6;0;0;0.83;2
208;;;"base";"interview";2021-03-01 16:09:34;5;;;"10";1;3;1;2;1;1;2;1;1;2;1;1;1;;4;2;2;2;2;1;6;6;6;6;6;5;5;5;5;5;5;5;1;1;6;6;6;6;5;5;2;2;1;2;1;1;;1;2;2;2;1;1;2;1;1;1;1;;2;1;2;2;1;;-1;;2;2;1;2;1;1;1;2;2;1;1;2;1;1;1;1;;5;5;5;6;5;6;6;6;1;2;2;1;1;1;2;1;1;1;;"nothing";9;19;3;16;222;18;287;;2021-03-01 16:14:21;1;0;6;6;0;0;2.38;254
217;;;"base";"interview";2021-03-01 22:01:25;2;;;"4";1;2;1;1;1;1;1;1;1;2;1;2;1;;1;1;1;2;1;1;5;5;4;6;5;4;5;1;-1;6;6;2;2;1;5;4;2;5;5;-1;1;1;1;2;1;1;;1;2;6;2;1;2;2;2;2;2;1;;3;2;2;2;1;;-2;"MIT";1;1;1;1;1;1;2;-1;1;1;1;1;1;1;1;1;;2;6;5;5;5;5;5;5;4;-1;1;1;1;1;1;1;1;1;;"Journals should enforce FAIR not just get everyone away with it";3;50;32;160;111;83;439;;2021-03-01 22:08:44;1;0;6;6;0;0;1.66;47
218;;;"base";"interview";2021-03-01 22:54:20;2;;;"2";4;1;2;1;1;1;1;1;1;1;1;1;1;;2;2;1;1;1;2;1;6;1;2;2;5;2;4;4;3;3;5;1;2;4;4;6;5;5;5;1;1;1;2;1;1;;4;5;-1;1;1;1;1;1;1;1;1;;1;1;2;1;1;;-1;;1;1;1;2;1;1;1;-1;1;1;1;1;1;1;1;1;;3;3;3;3;3;3;3;3;1;-1;1;1;1;1;1;1;1;1;;"The emphasis of reproducibility and novelty is killing sciences in the developing world, especially in over-exploited complex GW systems. ";4;56;11;165;169;144;549;;2021-03-01 23:03:29;1;0;6;6;0;0;1.72;40
219;;;"base";"interview";2021-03-02 07:16:42;1;;;"3";1;2;2;1;1;1;1;1;1;1;1;2;1;;2;1;2;2;1;1;4;2;2;5;4;5;3;6;6;5;5;5;1;1;6;6;3;5;6;4;3;1;2;2;2;1;;1;4;3;1;2;2;2;1;1;1;1;;2;2;2;1;1;;-1;;2;1;1;1;1;2;2;2;2;1;1;1;1;2;1;1;;4;6;6;6;5;6;4;5;2;1;2;1;1;1;1;1;1;1;;"Shadow or Pair computing could be made the norm.

Submitting for publications and working on open source codes could be made the norms by the editors.";8;46;8;145;108;275;590;;2021-03-02 07:26:33;1;0;6;6;0;0;1.62;42
222;;;"base";"interview";2021-03-02 08:54:30;2;;;"5";1;3;2;1;1;1;1;1;2;1;1;2;1;;1;1;2;1;1;1;4;4;3;5;5;3;5;2;2;5;4;2;1;1;3;2;6;1;1;2;2;2;1;2;1;1;;1;1;3;2;1;1;2;2;1;1;1;;1;2;1;1;1;;-2;"CECILL-C Licence (a French equivalent to the L-GPL licence)";2;1;1;2;1;1;2;2;1;1;1;2;1;1;2;1;;4;1;5;4;4;3;4;4;3;-1;1;1;1;1;1;1;1;1;;"Increase human resources dedicated to it";7;75;36;181;297;133;729;;2021-03-02 09:06:39;1;0;6;6;0;0;1.1;10
223;;;"base";"interview";2021-03-02 09:06:17;2;;;"3";3;2;2;2;1;1;1;1;1;1;1;1;1;;1;1;2;1;1;1;3;4;5;5;4;3;5;5;2;6;6;4;2;1;3;5;5;6;5;3;1;1;1;2;1;1;;1;1;2;1;1;2;2;1;1;1;1;;3;2;2;2;1;;-1;;2;1;1;1;1;2;2;-1;1;1;1;1;1;1;1;1;;2;6;5;5;5;4;3;4;1;2;2;1;1;1;1;2;1;1;;"publish the code with easy to use licenses.";18;60;34;193;146;88;539;;2021-03-02 09:15:16;1;0;6;6;0;0;1.13;10
233;;;"base";"interview";2021-03-02 09:31:36;3;;;"12";5;1;1;1;1;1;1;1;1;1;1;2;1;;1;1;2;1;1;1;3;4;2;5;4;4;5;3;2;5;6;1;2;1;5;5;4;3;5;2;2;1;2;1;2;1;;2;2;2;1;2;1;2;1;1;1;1;;2;2;2;1;1;;-2;"Creative Commons licenses";3;1;2;1;1;2;2;3;1;1;1;2;2;1;2;1;;4;6;2;5;5;4;4;4;4;3;1;2;2;1;1;1;2;1;;"At my institution, we are lately developing a strong focus on reproducibility. Especially for young scientists who are starting their projects, e.g., PhD students (in particular those that come from a non-programmer background) this topic seems to be overwhelming. They are struggling to get familiar with the models, with programming, with their research projects, and they are now also asked to strongly focus on reproducibility, ideally to a level where they think about Continuous Integration, Conainerizing of models and scripts, and extensive documentation. This is a lot to ask of a beginner. What we often hear from them is that they are already severely time-constrained and would like to dedicate more time to reproducibility, but don't see how they can do it within their allotted time for their project/thesis. Reproducibility should become more of a standard procedure in modeling-associated research, but to actually make it happen, it seems that it needs to be planned into the design of the research projects right from the start, to ensure that there is enough time available that can be dedicated to make research reproducible, and to teach (young) scientists who are not yet familiar with the concept and the means to implement it.";45;62;36;217;326;552;1238;;2021-03-02 09:52:14;1;0;6;6;0;0;0.67;2
236;;;"base";"interview";2021-03-02 09:59:06;3;;;"10";5;3;1;1;1;2;1;1;1;1;2;2;1;;1;1;2;1;1;1;4;3;4;5;4;3;4;5;3;5;4;4;2;2;4;4;3;4;6;3;2;1;2;1;2;1;;2;3;2;1;1;2;1;1;1;2;1;;3;2;2;2;1;;-2;"none";2;1;2;1;1;1;2;-1;1;1;1;1;1;1;1;1;;4;5;4;4;2;4;4;2;4;5;1;1;2;2;2;2;2;1;;"Provide best practice guidelines, funding, and recognition for reproducible science. The current currency is publications, not well documented, tested, and reproducible research. ";26;74;50;240;186;247;823;;2021-03-02 10:12:49;1;0;6;6;0;0;0.74;0
237;;;"base";"interview";2021-03-02 10:12:24;2;;;"6";2;1;1;1;1;1;1;1;1;1;1;2;1;;1;1;2;1;1;1;2;5;5;2;4;1;2;2;4;5;3;2;2;2;5;5;5;4;6;4;2;1;2;1;2;1;;2;3;-1;1;1;1;1;1;1;1;1;;1;2;1;1;1;;-1;;3;1;2;1;1;2;2;-1;1;1;1;1;1;1;1;1;;5;6;6;6;-1;6;6;6;4;3;2;2;1;1;1;1;2;1;;"I think that time is a very important factor. Many scientists work in projects that up to now often do not allocate time to the reproducibility process. So the time to invest in reproducibility competes with time to produce project results. I think it could help to actually allocate time (and thus funding) to making science reproducible in project proposals.
Often clear guidelines and courses for beginners on how to ensure reproducibility from the very beginning are missing. For a beginner the different steps and tasks can seem overwhelming. Teaching from the very beginning and setting out the rules for a minimum standard could help improve the reproducibility.";54;138;43;202;397;404;1238;;2021-03-02 10:33:02;1;0;6;6;0;0;0.54;0
238;;;"base";"interview";2021-03-02 10:34:00;2;;;"8";6;1;1;1;1;2;1;1;1;1;1;1;1;;1;1;2;1;1;1;2;5;4;3;6;1;3;4;2;6;6;1;2;2;6;6;2;4;6;2;2;1;2;1;2;1;;1;1;-1;1;1;1;1;1;1;1;1;;2;2;2;1;1;;-2;"None";1;1;1;1;1;1;2;-2;1;1;1;1;1;1;1;1;;4;6;6;6;2;6;6;6;4;1;1;1;1;1;1;1;1;2;"The model I am developing is not mine and the owners do not want to make it open-source. ";"We need a lot more training. And we need to acknowledge that this is a considerable time investment for PhD students and post-docs who are the main scientists developing code. Current projects have very tight timelines that are often not feasible because of poor planning and poor time management - this is without investing time in reproducibility. Time devoted to reproducibility needs to be factored into project proposals and projects need to be guided with a Scrum framework that allows scientists to quickly see what is working and what is not, and to promote working in teams (which would facilitate code review). A lot of coders and professors I know work as 'lone wolves' - but making code open source and reproducible will require us to help each other, work in teams, and promote a spirit of openness. Right now, no one in my project would have the skills to review my code. I would have to ask other lab members not paid by my project to do the work which is asking for a lot of time, especially since this person would not be familiar with the scientific goals of my model and the questions it is supposed to answer. Reproducibility is incredibly important and I think most people want to improve, but we need to be given the environment where we can make such a time investment. ";31;99;30;260;238;762;1420;;2021-03-02 10:57:40;1;0;6;6;0;0;0.64;0
239;;;"base";"interview";2021-03-02 10:39:41;2;;;"5";2;2;1;1;1;2;1;1;1;1;1;2;1;;1;1;2;1;1;1;3;4;2;6;5;4;6;6;5;6;5;5;2;1;5;4;4;3;4;5;2;1;2;1;2;1;;2;4;2;1;2;1;2;1;1;1;1;;1;2;1;1;1;;-1;;3;1;2;2;1;1;2;-2;1;1;1;1;1;1;1;1;;4;6;6;6;6;6;6;6;2;1;1;1;1;1;1;1;2;1;;"I would recommend reproducing the result by a colleague not part of the concerned project/paper before submission. I believe this will increase the confidence and reproducibility of the research. ";16;61;91;137;959;242;709;;2021-03-02 11:04:47;1;0;6;6;0;0;0.77;5
255;;;"base";"interview";2021-03-02 11:22:23;7;"Practicioner / development field. Applied research";;"8";5;3;2;1;1;1;1;1;1;2;2;1;1;;2;1;1;2;1;2;4;2;4;4;5;4;2;5;5;5;4;5;2;2;4;3;4;5;4;4;2;2;1;2;1;1;;4;5;-1;1;1;1;1;1;1;1;1;;-1;1;1;1;1;;-1;;1;1;1;1;1;1;2;-2;1;1;1;1;1;1;1;1;;4;1;2;3;6;2;3;5;4;2;1;1;1;1;1;2;2;1;;"Communicate the workflow";8;114;19;140;102;107;490;;2021-03-02 11:30:33;1;0;6;6;0;0;1.39;22
266;;;"base";"interview";2021-03-02 14:04:44;2;;;"5";2;1;1;1;1;2;1;1;1;1;1;1;1;;2;1;2;1;2;1;2;5;5;5;3;1;6;3;1;6;6;2;2;2;5;5;5;3;6;1;3;1;2;2;2;1;;1;1;6;1;2;2;2;2;2;2;1;;3;2;1;2;2;"Automatic formatting; issue tracker";-2;"MIT, LGPL";5;2;2;2;2;1;2;7;2;2;2;2;2;2;1;2;"CC0, Unlicense, WTFPL";4;5;6;6;4;6;4;6;3;-1;1;1;1;1;1;1;1;1;;"? Dedicate a few months at the beginning of a PhD or Postdoc position for a crashcourse in professional programming.

? Mandatory crashcourses for senior researchers and professors in how to *evaluate* code quality. If journal reviewers and supervisors have no idea what good software looks like, it will never be rewarded.

? Invite experienced software engineers as consultants for model software development.

? Reduce publication pressure! Quality must come before quantity.

? Design and manage research projects as real teamwork (not just the loose ?collaboration? where everybody just does their own thing). Teamwork like in Scrum!";267;63;35;425;718;875;2130;;2021-03-02 14:44:27;1;0;6;6;0;0;0.5;2
