"VAR";"RESPONSE";"MEANING"
"S110";5;"Less than once a month"
"S110";-1;"I do not work on code at all."
"S110";-2;"I used to develop software in the past but not anymore."
"S110";-9;"nicht beantwortet"
"S104";-1;"None of the above"
"S104_01";1;"nicht gewählt"
"S104_01";2;"ausgewählt"
"S104_02";1;"nicht gewählt"
"S104_02";2;"ausgewählt"
"S104_03";1;"nicht gewählt"
"S104_03";2;"ausgewählt"
"S104_04";1;"nicht gewählt"
"S104_04";2;"ausgewählt"
"S104_05";1;"nicht gewählt"
"S104_05";2;"ausgewählt"
"S104_07";1;"nicht gewählt"
"S104_07";2;"ausgewählt"
"S104_08";1;"nicht gewählt"
"S104_08";2;"ausgewählt"
"S104_09";1;"nicht gewählt"
"S104_09";2;"ausgewählt"
"S105";-1;"None of the above"
"S105_01";1;"nicht gewählt"
"S105_01";2;"ausgewählt"
"S105_02";1;"nicht gewählt"
"S105_02";2;"ausgewählt"
"S105_03";1;"nicht gewählt"
"S105_03";2;"ausgewählt"
"S105_04";1;"nicht gewählt"
"S105_04";2;"ausgewählt"
"S111";-1;"I don't know"
"S111";-2;"sonstige Texteingabe"
"S111";-9;"nicht beantwortet"
"S106";-1;"I'm not able to write my own code."
"S106_01";1;"nicht gewählt"
"S106_01";2;"ausgewählt"
"S106_02";1;"nicht gewählt"
"S106_02";2;"ausgewählt"
"S106_03";1;"nicht gewählt"
"S106_03";2;"ausgewählt"
"S106_04";1;"nicht gewählt"
"S106_04";2;"ausgewählt"
"S106_05";1;"nicht gewählt"
"S106_05";2;"ausgewählt"
"S106_06";1;"nicht gewählt"
"S106_06";2;"ausgewählt"
"S112";-1;"I know them by name but have no idea what they actually stand for."
"S112";-2;"I do not know them at all."
"S112_01";1;"nicht gewählt"
"S112_01";2;"ausgewählt"
"S112_02";1;"nicht gewählt"
"S112_02";2;"ausgewählt"
"S112_03";1;"nicht gewählt"
"S112_03";2;"ausgewählt"
"S112_04";1;"nicht gewählt"
"S112_04";2;"ausgewählt"
"S112_05";1;"nicht gewählt"
"S112_05";2;"ausgewählt"
"S112_06";1;"nicht gewählt"
"S112_06";2;"ausgewählt"
"S112_07";1;"nicht gewählt"
"S112_07";2;"ausgewählt"
"S112_08";1;"nicht gewählt"
"S112_08";2;"ausgewählt"
"S113";1;"1 day"
"S113";2;"1 week"
"S113";3;"2-4 weeks"
"S113";4;"up to a year"
"S113";5;"more than a year"
"S113";-1;"Does not apply to me"
"S113";-9;"nicht beantwortet"
"S201_02";1;"not helpful at all [1]"
"S201_02";2;"[2]"
"S201_02";3;"[3]"
"S201_02";4;"[4]"
"S201_02";5;"[5]"
"S201_02";6;"extremely helpful [6]"
"S201_02";-1;"Not sure"
"S201_02";-9;"nicht beantwortet"
"S201_03";1;"not helpful at all [1]"
"S201_03";2;"[2]"
"S201_03";3;"[3]"
"S201_03";4;"[4]"
"S201_03";5;"[5]"
"S201_03";6;"extremely helpful [6]"
"S201_03";-1;"Not sure"
"S201_03";-9;"nicht beantwortet"
"S201_04";1;"not helpful at all [1]"
"S201_04";2;"[2]"
"S201_04";3;"[3]"
"S201_04";4;"[4]"
"S201_04";5;"[5]"
"S201_04";6;"extremely helpful [6]"
"S201_04";-1;"Not sure"
"S201_04";-9;"nicht beantwortet"
"S201_06";1;"not helpful at all [1]"
"S201_06";2;"[2]"
"S201_06";3;"[3]"
"S201_06";4;"[4]"
"S201_06";5;"[5]"
"S201_06";6;"extremely helpful [6]"
"S201_06";-1;"Not sure"
"S201_06";-9;"nicht beantwortet"
"S201_09";1;"not helpful at all [1]"
"S201_09";2;"[2]"
"S201_09";3;"[3]"
"S201_09";4;"[4]"
"S201_09";5;"[5]"
"S201_09";6;"extremely helpful [6]"
"S201_09";-1;"Not sure"
"S201_09";-9;"nicht beantwortet"
"S201_01";1;"not helpful at all [1]"
"S201_01";2;"[2]"
"S201_01";3;"[3]"
"S201_01";4;"[4]"
"S201_01";5;"[5]"
"S201_01";6;"extremely helpful [6]"
"S201_01";-1;"Not sure"
"S201_01";-9;"nicht beantwortet"
"S201_10";1;"not helpful at all [1]"
"S201_10";2;"[2]"
"S201_10";3;"[3]"
"S201_10";4;"[4]"
"S201_10";5;"[5]"
"S201_10";6;"extremely helpful [6]"
"S201_10";-1;"Not sure"
"S201_10";-9;"nicht beantwortet"
"S202";1;"Yes, all code belongs to me"
"S202";2;"No, all code belongs to supervisor"
"S202";3;"No, all code belongs to the institution I work for"
"S202";4;"Don't actually know"
"S202";-9;"nicht beantwortet"
"S203";-1;"I publish all my research code as open source."
"S203";-2;"I don't want to publish my code."
"S203";-3;"Does not apply to me."
"S203_01";1;"nicht gewählt"
"S203_01";2;"ausgewählt"
"S203_02";1;"nicht gewählt"
"S203_02";2;"ausgewählt"
"S203_03";1;"nicht gewählt"
"S203_03";2;"ausgewählt"
"S203_04";1;"nicht gewählt"
"S203_04";2;"ausgewählt"
"S203_08";1;"nicht gewählt"
"S203_08";2;"ausgewählt"
"S203_07";1;"nicht gewählt"
"S203_07";2;"ausgewählt"
"S203_05";1;"nicht gewählt"
"S203_05";2;"ausgewählt"
"S203_06";1;"nicht gewählt"
"S203_06";2;"ausgewählt"
"FINISHED";0;"abgebrochen"
"FINISHED";1;"ausgefüllt"
"Q_VIEWER";0;"Teilnehmer"
"Q_VIEWER";1;"Durchklicker"
